Stan Pines, 30/04/2018, 123
Blendin Blandin, 02/04/2021 , 26
Soos Ramirez, 14/10/2023, 76
Blendin Blandin, 24/08/2019, 290
Stan Pines, 01/01/2020, 34
Blendin Blandin, 15/08/2021, 600
Stan Pines, 12/04/2022, 90
Blendin Blandin, 19/11/2013, 24
Soos Ramirez, 02/02/2019, 23
Blendin Blandin, 26/07/2018, 251
Stan Pines, 09/05/2015, 82
Blendin Blandin, 24/01/2020 , 8
Soos Ramirez, 21/09/2018, 651
Blendin Blandin, 04/12/2016, 97 
Stan Pines, 31/10/2021 ,152
Stan Pines, 05/01/2019, 124
Soos Ramirez, 31/08/2021 ,26
Stan Pines, 02/04/2020 , 35
Soos Ramirez, 24/06/2018, 244
Blendin Blandin, 10/04/2023 ,87
Stan Pines, 18/02/2018, 962
Stan Pines, 26/01/2020, 142
Soos Ramirez, 12/08/2020 , 12
Blendin Blandin, 24/01/2021 , 11
Soos Ramirez, 24/07/2019, 11
Stan Pines, 09/09/2013, 8
Blendin Blandin, 22/12/2021, 26
Stan Pines, 27/05/2023, 142
Stan Pines, 12/08/2021 , 11
Soos Ramirez, 07/04/2022, 93
Blendin Blandin, 16/09/2022, 75
Stan Pines, 23/11/2017, 45
Blendin Blandin, 15/05/2022, 15
Blendin Blandin, 08/08/2019, 10
Stan Pines, 01/12/2023, 5
Soos Ramirez, 18/03/2018, 2
Blendin Blandin, 29/10/2022, 5
